Survived	('Survived', 'PassengerId')
0	(0, 1115)
1	(1, 1116)
1	(1, 1117)
0	(0, 1118)
1	(1, 1119)
0	(0, 1120)
0	(0, 1121)
0	(0, 1122)
1	(1, 1123)
0	(0, 1124)
0	(0, 1125)
0	(0, 1126)
0	(0, 1127)
0	(0, 1128)
0	(0, 1129)
1	(1, 1130)
1	(1, 1131)
1	(1, 1132)
1	(1, 1133)
0	(0, 1134)
0	(0, 1135)
0	(0, 1136)
0	(0, 1137)
1	(1, 1138)
0	(0, 1139)
1	(1, 1140)
1	(1, 1141)
1	(1, 1142)
0	(0, 1143)
0	(0, 1144)
0	(0, 1145)
0	(0, 1146)
0	(0, 1147)
0	(0, 1148)
0	(0, 1149)
1	(1, 1150)
0	(0, 1151)
0	(0, 1152)
0	(0, 1153)
1	(1, 1154)
1	(1, 1155)
0	(0, 1156)
0	(0, 1157)
0	(0, 1158)
0	(0, 1159)
1	(1, 1160)
0	(0, 1161)
0	(0, 1162)
0	(0, 1163)
1	(1, 1164)
1	(1, 1165)
0	(0, 1166)
1	(1, 1167)
0	(0, 1168)
0	(0, 1169)
0	(0, 1170)
0	(0, 1171)
1	(1, 1172)
1	(1, 1173)
1	(1, 1174)
1	(1, 1175)
1	(1, 1176)
0	(0, 1177)
0	(0, 1178)
0	(0, 1179)
0	(0, 1180)
0	(0, 1181)
0	(0, 1182)
1	(1, 1183)
0	(0, 1184)
0	(0, 1185)
0	(0, 1186)
0	(0, 1187)
1	(1, 1188)
0	(0, 1189)
0	(0, 1190)
0	(0, 1191)
0	(0, 1192)
0	(0, 1193)
0	(0, 1194)
0	(0, 1195)
1	(1, 1196)
1	(1, 1197)
0	(0, 1198)
1	(1, 1199)
0	(0, 1200)
1	(1, 1201)
0	(0, 1202)
0	(0, 1203)
0	(0, 1204)
1	(1, 1205)
1	(1, 1206)
1	(1, 1207)
1	(1, 1208)
0	(0, 1209)
0	(0, 1210)
0	(0, 1211)
0	(0, 1212)
0	(0, 1213)
0	(0, 1214)
0	(0, 1215)
1	(1, 1216)
0	(0, 1217)
1	(1, 1218)
0	(0, 1219)
0	(0, 1220)
0	(0, 1221)
1	(1, 1222)
0	(0, 1223)
0	(0, 1224)
1	(1, 1225)
0	(0, 1226)
0	(0, 1227)
0	(0, 1228)
0	(0, 1229)
0	(0, 1230)
0	(0, 1231)
0	(0, 1232)
0	(0, 1233)
0	(0, 1234)
1	(1, 1235)
0	(0, 1236)
1	(1, 1237)
0	(0, 1238)
1	(1, 1239)
0	(0, 1240)
1	(1, 1241)
1	(1, 1242)
0	(0, 1243)
0	(0, 1244)
0	(0, 1245)
1	(1, 1246)
0	(0, 1247)
1	(1, 1248)
0	(0, 1249)
0	(0, 1250)
1	(1, 1251)
0	(0, 1252)
1	(1, 1253)
1	(1, 1254)
0	(0, 1255)
1	(1, 1256)
0	(0, 1257)
0	(0, 1258)
1	(1, 1259)
1	(1, 1260)
0	(0, 1261)
0	(0, 1262)
1	(1, 1263)
0	(0, 1264)
0	(0, 1265)
1	(1, 1266)
1	(1, 1267)
0	(0, 1268)
0	(0, 1269)
0	(0, 1270)
0	(0, 1271)
0	(0, 1272)
0	(0, 1273)
1	(1, 1274)
1	(1, 1275)
0	(0, 1276)
1	(1, 1277)
0	(0, 1278)
0	(0, 1279)
0	(0, 1280)
0	(0, 1281)
0	(0, 1282)
1	(1, 1283)
1	(1, 1284)
0	(0, 1285)
0	(0, 1286)
1	(1, 1287)
0	(0, 1288)
1	(1, 1289)
0	(0, 1290)
0	(0, 1291)
1	(1, 1292)
0	(0, 1293)
1	(1, 1294)
0	(0, 1295)
0	(0, 1296)
0	(0, 1297)
0	(0, 1298)
1	(1, 1299)
1	(1, 1300)
1	(1, 1301)
1	(1, 1302)
1	(1, 1303)
1	(1, 1304)
0	(0, 1305)
1	(1, 1306)
0	(0, 1307)
0	(0, 1308)
0	(0, 1309)
